,Longitudes,dew,DATE,min_aod,ceiling,Latitudes,temperature,wind_y,precipitation_duration,max_aod,wind_x,pressure,mean_aod,STATION,pm25,Unnamed: 0,visibility,precipitation_depth
4239,34.11172342,18.92592593,2018-02-01,0.118,22000.0,-118.3605246,18.45925926,-41.59484399,1.92,0.146,-39.64621713,10140.08333,0.129925,73.0,,,,
4240,34.11172342,32.625,2018-02-03,0.061,22000.0,-118.3605246,18.84166667,60.9179873,1.92,0.129,-11.60935782,10172.95833,0.09575641,73.0,,,,
4330,34.14896369,18.92592593,2018-02-01,0.102,22000.0,-118.3605246,18.45925926,-41.59484399,1.92,0.142,-39.64621713,10140.08333,0.123780488,74.0,,,,
4331,34.14896369,32.625,2018-02-03,0.041,22000.0,-118.3605246,18.84166667,60.9179873,1.92,0.12,-11.60935782,10172.95833,0.084037037,74.0,,,,
4418,34.18620397,18.92592593,2018-02-01,0.098,22000.0,-118.3605246,18.45925926,-41.59484399,1.92,0.221,-39.64621713,10140.08333,0.143275,75.0,,,,
4419,34.18620397,32.625,2018-02-03,0.066,22000.0,-118.3605246,18.84166667,60.9179873,1.92,0.216,-11.60935782,10172.95833,0.113525,75.0,,,,
4507,33.70208039,49.28571429,2018-02-01,0.15,20820.42857,-118.4054403,17.93333333,-96.88441668,0.0,0.264,-18.85640675,,0.198333333,47.0,,,,
4508,33.70208039,66.92307692,2018-02-03,0.027,22000.0,-118.4054403,18.5,-46.75990333,0.0,0.148,39.4554067,,0.080475,47.0,,,,
4591,33.73932067,49.28571429,2018-02-01,0.089,20820.42857,-118.4054403,17.93333333,-96.88441668,0.0,0.264,-18.85640675,,0.169794118,48.0,,,,
4592,33.73932067,66.92307692,2018-02-03,0.025,22000.0,-118.4054403,18.5,-46.75990333,0.0,0.163,39.4554067,,0.080962963,48.0,,,,
4682,33.77656094,49.28571429,2018-02-01,0.093,20820.42857,-118.4054403,17.93333333,-96.88441668,0.0,0.262,-18.85640675,,0.160296296,49.0,,,,
4683,33.77656094,66.92307692,2018-02-03,0.025,22000.0,-118.4054403,18.5,-46.75990333,0.0,0.121,39.4554067,,0.081904762,49.0,,,,
4773,33.81380122,68.78571429,2018-02-01,0.086,20210.2963,-118.4054403,16.98214286,46.36820144,1.92,0.301,10.72614254,10148.14286,0.147039216,50.0,,,,
